BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
604719,777, REOPENED, (null),17,10,12,,,
775372,43, VERIFIED, FIXED,26,9,9,,,
705105,466, VERIFIED, FIXED,10,5,13,,,
896992,9, VERIFIED, FIXED,24,6,13,,,
763916,27, VERIFIED, FIXED,9,4,11,,,
847475,10, VERIFIED, FIXED,11,5,18,,,
718014,23, VERIFIED, FIXED,9,5,5,,,
863803,41, VERIFIED, FIXED,10,3,8,,,
759146,6, VERIFIED, FIXED,31,12,12,,,
769269,46, VERIFIED, FIXED,104,19,27,,,
751609,26, VERIFIED, FIXED,12,6,7,,,
712527,20, VERIFIED, FIXED,11,6,3,,,
869477,0, VERIFIED, FIXED,3,3,2,,,
836803,20, VERIFIED, FIXED,7,5,4,,,
751690,7, VERIFIED, FIXED,26,11,14,,,
700495,101, VERIFIED, FIXED,8,4,3,,,
744070,128, VERIFIED, FIXED,23,10,14,,,
696927,17, VERIFIED, FIXED,4,4,4,,,
786029,142, VERIFIED, FIXED,32,11,13,,,
735230,50, VERIFIED, FIXED,35,10,18,,,
877807,11, REOPENED, (null),5,5,5,,,
727302,20, VERIFIED, FIXED,4,3,3,,,
762724,34, VERIFIED, FIXED,12,5,10,,,
704043,81, VERIFIED, FIXED,5,4,3,,,
843619,36, VERIFIED, FIXED,30,10,10,,,
753200,31, VERIFIED, FIXED,35,10,8,,,
746120,42, VERIFIED, FIXED,22,12,10,,,
788666,32, VERIFIED, FIXED,24,11,11,,,
881875,15, VERIFIED, FIXED,10,7,9,,,
849220,10, ASSIGNED, (null),9,6,7,,,
754585,135, VERIFIED, FIXED,13,8,12,,,
747493,159, VERIFIED, FIXED,69,18,34,,,
793197,11, VERIFIED, FIXED,14,6,11,,,
737907,61, VERIFIED, FIXED,9,8,8,,,
776950,76, VERIFIED, FIXED,11,4,2,,,
708879,87, VERIFIED, FIXED,5,4,4,,,
729324,2, VERIFIED, FIXED,4,4,3,,,
765941,23, VERIFIED, FIXED,7,5,3,,,
857135,25, REOPENED, (null),39,7,9,,,
826074,43, VERIFIED, FIXED,5,4,3,,,
748621,48, VERIFIED, FIXED,7,4,4,,,
698589,108, VERIFIED, FIXED,2,3,2,,,
797987,18, VERIFIED, FIXED,3,2,3,,,
739648,120, VERIFIED, FIXED,27,9,11,,,
779920,39, VERIFIED, FIXED,10,7,6,,,
894045,10, ASSIGNED, (null),4,3,2,,,
767959,245, VERIFIED, FIXED,3,3,3,,,
706182,96, VERIFIED, FIXED,9,5,6,,,
865060,6, REOPENED, (null),5,3,2,,,
724795,24, VERIFIED, FIXED,8,6,3,,,
830758,15, VERIFIED, FIXED,8,5,3,,,
719434,40, VERIFIED, FIXED,25,9,8,,,
750684,285, VERIFIED, FIXED,40,6,9,,,
802270,8, VERIFIED, FIXED,6,3,4,,,
741590,57, VERIFIED, FIXED,26,5,8,,,
696300,25, VERIFIED, FIXED,6,3,2,,,
783193,292, ASSIGNED, (null),20,8,10,,,
706705,95, VERIFIED, FIXED,6,4,4,,,
871464,6, VERIFIED, FIXED,14,7,11,,,
760708,13, REOPENED, (null),26,7,6,,,
760723,0, VERIFIED, FIXED,3,2,0,,,
837142,40, VERIFIED, FIXED,6,5,5,,,
751930,62, VERIFIED, FIXED,11,5,6,,,
809790,144, VERIFIED, FIXED,45,16,20,,,
786073,30, VERIFIED, FIXED,16,6,7,,,
735237,78, VERIFIED, FIXED,9,6,7,,,
771525,19, VERIFIED, FIXED,12,6,7,,,
878156,66, VERIFIED, FIXED,12,7,7,,,
762725,35, VERIFIED, FIXED,10,4,5,,,
843821,82, VERIFIED, FIXED,20,9,12,,,
753250,23, VERIFIED, FIXED,20,11,9,,,
701018,2, VERIFIED, FIXED,4,3,3,,,
816114,43, VERIFIED, FIXED,13,7,6,,,
746380,42, VERIFIED, FIXED,22,6,5,,,
736125,0, VERIFIED, FIXED,4,4,4,,,
774500,62, VERIFIED, FIXED,18,5,3,,,
882136,9, VERIFIED, FIXED,12,7,8,,,
764354,25, VERIFIED, FIXED,29,12,16,,,
850154,16, VERIFIED, FIXED,9,6,12,,,
722278,18, VERIFIED, FIXED,7,6,9,,,
754637,157, VERIFIED, FIXED,4,5,3,,,
820302,23, VERIFIED, FIXED,11,5,5,,,
747531,45, VERIFIED, FIXED,7,4,6,,,
697803,26, VERIFIED, FIXED,11,5,3,,,
737922,61, VERIFIED, FIXED,12,6,5,,,
777274,8, VERIFIED, FIXED,11,6,13,,,
887655,28, VERIFIED, FIXED,23,9,12,,,
729485,343, VERIFIED, FIXED,17,9,13,,,
766406,61, VERIFIED, FIXED,23,5,8,,,
857342,90, VERIFIED, FIXED,10,5,5,,,
