BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
6594, 84, RESOLVED, WORKSFORME, 1, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8085, 1262, RESOLVED, WORKSFORME, 1, 1, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8722, 1209, RESOLVED, WORKSFORME, 3, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
12798, 6, RESOLVED, WORKSFORME, 1, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
7885, 498, RESOLVED, FIXED, 8, 5, 5,NEW > RESOLVED, --- > WORKSFORME > FIXED, , 
8515, 453, RESOLVED, WORKSFORME, 11, 6, 3,NEW > RESOLVED, --- > WONTFIX > WORKSFORME, , 
15858, 0, RESOLVED, WORKSFORME, 1, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
12408, 345, RESOLVED, WORKSFORME, 2, 3, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
16631, 3, RESOLVED, WORKSFORME, 4, 4, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
9414, 670, RESOLVED, WORKSFORME, 3, 3, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
3099, 1739, RESOLVED, WORKSFORME, 1, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
5305, 1516, RESOLVED, WORKSFORME, 3, 4, 3,NEW > RESOLVED > REOPENED > RESOLVED, --- > INVALID > --- > WORKSFORME, NEW (---) > RESOLVED (INVALID) > REOPENED (---) > RESOLVED (WORKSFORME) , 
19943, 0, RESOLVED, WORKSFORME, 2, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
12368, 600, RESOLVED, WORKSFORME, 4, 3, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
5088, 1267, RESOLVED, WORKSFORME, 7, 5, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
13199, 805, RESOLVED, WORKSFORME, 3, 2, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
20449, 14, RESOLVED, WORKSFORME, 2, 3, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8748, 1213, RESOLVED, WORKSFORME, 9, 5, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
25545, 0, RESOLVED, WORKSFORME, 1, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
7668, 1550, RESOLVED, WORKSFORME, 4, 3, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
11110, 1329, RESOLVED, WORKSFORME, 3, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
10840, 1278, RESOLVED, WORKSFORME, 2, 3, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
30746, 12, RESOLVED, FIXED, 23, 4, 2,NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > FIXED, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (FIXED) , 
5248, 2323, RESOLVED, WORKSFORME, 8, 7, 4,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
27913, 763, RESOLVED, WORKSFORME, 4, 3, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
6350, 0, RESOLVED, WORKSFORME, 5, 2, 0,NEW > RESOLVED > REOPENED > RESOLVED, --- > INVALID > --- > WORKSFORME, NEW (---) > RESOLVED (INVALID) > REOPENED (---) > RESOLVED (WORKSFORME) , 
12045, 907, RESOLVED, WORKSFORME, 1, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
13122, 3, RESOLVED, WORKSFORME, 1, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
13383, 1, RESOLVED, WORKSFORME, 3, 3, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
13593, 0, RESOLVED, WORKSFORME, 2, 3, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
13685, 764, RESOLVED, WORKSFORME, 2, 3, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
14664, 9, RESOLVED, WORKSFORME, 1, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
6692, 917, RESOLVED, WORKSFORME, 2, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
4360, 1179, RESOLVED, WORKSFORME, 1, 2, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
21671, 0, RESOLVED, WORKSFORME, 5, 4, 3,NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (WORKSFORME) , 
6257, 1465, RESOLVED, WORKSFORME, 4, 5, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
24405, 636, RESOLVED, WORKSFORME, 5, 4, 3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
28087, 122, RESOLVED, WORKSFORME, 1, 2, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
26461, 474, RESOLVED, WORKSFORME, 1, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
29111, 311, RESOLVED, WORKSFORME, 39, 8, 9,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
11540, 238, RESOLVED, WORKSFORME, 1, 2, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
16478, 3, RESOLVED, WORKSFORME, 1, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
7464, 823, RESOLVED, WORKSFORME, 4, 5, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
4561, 2179, REOPENED, (null), 5, 4, 2,NEW > RESOLVED > REOPENED, --- > WORKSFORME > ---, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) , 
5207, 2566, RESOLVED, WORKSFORME, 12, 7, 3,NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (WORKSFORME) , 
8932, 1641, RESOLVED, FIXED, 6, 6, 5,NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > FIXED, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (FIXED) , 
16700, 971, RESOLVED, FIXED, 11, 4, 3,NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > FIXED, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (FIXED) , 
3621, 2046, RESOLVED, WORKSFORME, 12, 4, 5,NEW > RESOLVED > REOPENED > RESOLVED, --- > INVALID > --- > WORKSFORME, NEW (---) > RESOLVED (INVALID) > REOPENED (---) > RESOLVED (WORKSFORME) , 
6974, 1796, RESOLVED, WORKSFORME, 1, 2, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
2469, 2217, RESOLVED, WORKSFORME, 4, 5, 2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
24204, 516, RESOLVED, WORKSFORME, 13, 7, 7,NEW > RESOLVED, --- > LATER > WORKSFORME, , 
36134, 5, RESOLVED, WORKSFORME, 3, 2, 2,NEW > UNCONFIRMED > RESOLVED, --- > WORKSFORME, , 
4723, 2374, RESOLVED, WORKSFORME, 3, 3, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
5118, 2668, RESOLVED, WORKSFORME, 8, 7, 5,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
12357, 1911, RESOLVED, WORKSFORME, 8, 5, 1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
3850, 0, RESOLVED, WORKSFORME, 2, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
7818, 1286, RESOLVED, WORKSFORME, 1, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8053, 1264, RESOLVED, WORKSFORME, 1, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8184, 1254, RESOLVED, WORKSFORME, 2, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8384, 1236, RESOLVED, WORKSFORME, 1, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8476, 1227, RESOLVED, WORKSFORME, 1, 2, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
8630, 1217, RESOLVED, WORKSFORME, 4, 3, 0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
