BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
12938, 6, RESOLVED, FIXED, 1, 2, 0,
12953, 2, RESOLVED, FIXED, 6, 3, 3,
13049, 545, RESOLVED, FIXED, 14, 7, 5,
13218, 0, RESOLVED, FIXED, 8, 5, 4,
13418, 787, RESOLVED, FIXED, 2, 2, 1,
13419, 787, RESOLVED, FIXED, 1, 2, 1,
13460, 5, RESOLVED, FIXED, 2, 3, 2,
13465, 0, RESOLVED, FIXED, 3, 3, 2,
13596, 1, RESOLVED, FIXED, 7, 2, 2,
13651, 4, RESOLVED, FIXED, 9, 5, 5,
13718, 762, RESOLVED, FIXED, 3, 3, 3,
13745, 0, RESOLVED, FIXED, 6, 4, 3,
13819, 753, RESOLVED, FIXED, 1, 2, 2,
13836, 750, RESOLVED, FIXED, 2, 2, 3,
13993, 738, RESOLVED, FIXED, 1, 2, 2,
14018, 737, RESOLVED, FIXED, 1, 2, 2,
14102, 0, RESOLVED, FIXED, 9, 3, 3,
14471, 3, RESOLVED, FIXED, 4, 3, 2,
14651, 0, RESOLVED, FIXED, 1, 2, 2,
14758, 676, RESOLVED, FIXED, 1, 2, 2,
15173, 1450, RESOLVED, FIXED, 2, 2, 2,
15228, 0, RESOLVED, FIXED, 1, 2, 2,
15267, 16, RESOLVED, FIXED, 5, 3, 2,
15275, 630, RESOLVED, FIXED, 4, 3, 3,
15319, 9, RESOLVED, FIXED, 2, 3, 3,
15348, 907, RESOLVED, FIXED, 4, 4, 3,
15444, 0, RESOLVED, FIXED, 2, 2, 2,
15448, 0, RESOLVED, FIXED, 1, 2, 2,
15479, 0, RESOLVED, FIXED, 1, 2, 2,
15486, 0, RESOLVED, FIXED, 8, 2, 2,
15497, 33, RESOLVED, FIXED, 5, 4, 4,
15535, 0, RESOLVED, FIXED, 4, 2, 2,
15579, 93, RESOLVED, FIXED, 4, 3, 4,
15985, 577, RESOLVED, FIXED, 1, 2, 3,
16018, 0, RESOLVED, FIXED, 2, 3, 4,
16207, 1, RESOLVED, FIXED, 1, 2, 4,
16225, 0, RESOLVED, FIXED, 1, 2, 4,
16262, 69, RESOLVED, FIXED, 1, 2, 3,
16548, 0, RESOLVED, FIXED, 2, 2, 3,
16549, 10, RESOLVED, FIXED, 1, 2, 3,
16633, 512, RESOLVED, FIXED, 3, 3, 3,
16647, 0, RESOLVED, FIXED, 1, 2, 3,
16726, 0, RESOLVED, FIXED, 3, 2, 3,
16798, 17, RESOLVED, FIXED, 6, 3, 4,
17048, 2, RESOLVED, FIXED, 1, 2, 3,
17215, 7, RESOLVED, FIXED, 13, 4, 4,
17326, 0, RESOLVED, FIXED, 1, 2, 3,
17529, 1, RESOLVED, FIXED, 1, 2, 3,
17563, 0, RESOLVED, FIXED, 5, 4, 4,
17673, 22, RESOLVED, FIXED, 6, 3, 4,
17832, 0, RESOLVED, FIXED, 1, 2, 3,
17852, 55, RESOLVED, FIXED, 6, 3, 4,
18311, 0, RESOLVED, FIXED, 1, 2, 3,
18601, 0, RESOLVED, FIXED, 1, 2, 3,
19040, 44, RESOLVED, FIXED, 1, 2, 3,
19103, 1, RESOLVED, FIXED, 4, 3, 5,
19640, 669, RESOLVED, LATER, 22, 13, 13,
19914, 0, RESOLVED, FIXED, 2, 2, 5,
19931, 31, RESOLVED, FIXED, 1, 2, 3,
20816, 0, RESOLVED, FIXED, 1, 2, 4,
20967, 34, RESOLVED, FIXED, 2, 3, 6,
21310, 484, RESOLVED, FIXED, 4, 3, 4,
21320, 0, RESOLVED, FIXED, 1, 2, 4,
21441, 34, RESOLVED, FIXED, 2, 3, 4,
21740, 0, RESOLVED, FIXED, 1, 1, 3,
21817, 0, RESOLVED, FIXED, 3, 3, 4,
21922, 36, RESOLVED, FIXED, 1, 2, 4,
21935, 712, NEW, (null), 0, 1, 5,
21945, 0, RESOLVED, FIXED, 1, 2, 4,
22032, 28, RESOLVED, FIXED, 2, 2, 5,
22179, 684, NEW, (null), 5, 3, 6,
22225, 0, RESOLVED, FIXED, 2, 3, 4,
22290, 62, RESOLVED, FIXED, 1, 2, 5,
22744, 1244, NEW, (null), 3, 1, 6,
23117, 0, RESOLVED, FIXED, 6, 6, 7,
23834, 0, RESOLVED, FIXED, 4, 2, 6,
24016, 664, RESOLVED, FIXED, 1, 2, 5,
24089, 0, RESOLVED, FIXED, 2, 2, 4,
24166, 64, RESOLVED, FIXED, 4, 2, 4,
24665, 1, RESOLVED, FIXED, 1, 2, 5,
24740, 262, RESOLVED, FIXED, 4, 1, 4,
25248, 9, RESOLVED, FIXED, 10, 3, 4,
25303, 8, RESOLVED, FIXED, 3, 2, 5,
25463, 18, RESOLVED, FIXED, 9, 3, 5,
25675, 109, RESOLVED, FIXED, 5, 3, 5,
26075, 208, RESOLVED, FIXED, 3, 3, 5,
26560, 51, RESOLVED, FIXED, 4, 2, 7,
27477, 424, RESOLVED, FIXED, 9, 4, 6,
27479, 0, RESOLVED, FIXED, 3, 2, 4,
27965, 403, RESOLVED, FIXED, 6, 6, 14,
28010, 0, RESOLVED, FIXED, 1, 1, 5,
28104, 394, RESOLVED, FIXED, 2, 3, 4,
28291, 384, RESOLVED, FIXED, 1, 2, 5,
28416, 13, RESOLVED, FIXED, 5, 3, 4,
28586, 0, RESOLVED, FIXED, 10, 4, 6,
28634, 718, RESOLVED, FIXED, 15, 9, 12,
29267, 0, RESOLVED, FIXED, 1, 2, 4,
29290, 572, RESOLVED, FIXED, 6, 4, 10,
29684, 23, RESOLVED, FIXED, 1, 2, 5,
29685, 23, RESOLVED, FIXED, 1, 2, 5,
29748, 53, RESOLVED, FIXED, 2, 3, 6,
29938, 0, RESOLVED, FIXED, 5, 3, 5,
29976, 23, RESOLVED, FIXED, 7, 4, 9,
30230, 0, RESOLVED, FIXED, 5, 3, 5,
30488, 255, RESOLVED, FIXED, 7, 3, 7,
30975, 226, RESOLVED, FIXED, 6, 5, 8,
31345, 21, VERIFIED, FIXED, 2, 2, 6,
32204, 544, REOPENED, (null), 4, 3, 5,
32385, 237, RESOLVED, FIXED, 2, 3, 9,
32895, 191, RESOLVED, WONTFIX, 6, 5, 7,
33287, 448, REOPENED, (null), 20, 8, 12,
33318, 0, NEW, (null), 1, 2, 5,
34377, 0, RESOLVED, FIXED, 2, 3, 6,
34451, 76, RESOLVED, FIXED, 6, 4, 8,
34949, 1, NEW, (null), 0, 1, 5,
34951, 1, NEW, (null), 0, 1, 5,
35305, 267, NEW, (null), 5, 4, 7,
35693, 383, RESOLVED, FIXED, 3, 3, 7,
35867, 14, NEW, (null), 0, 1, 6,
36400, 355, RESOLVED, FIXED, 10, 4, 10,
36453, 58, RESOLVED, FIXED, 2, 3, 6,
37552, 200, NEW, (null), 0, 1, 5,
38669, 158, NEW, (null), 0, 1, 4,
38717, 157, NEW, (null), 3, 2, 5,
39647, 127, NEW, (null), 0, 1, 4,
40809, 86, NEW, (null), 1, 2, 4,
40817, 85, NEW, (null), 0, 1, 3,
41354, 175, NEW, (null), 0, 1, 3,
41901, 23, NEW, (null), 0, 1, 6,
41956, 50, NEW, (null), 1, 2, 4,
42274, 40, NEW, (null), 3, 2, 4,
42807, 45, NEW, (null), 6, 3, 5,
43096, 129, RESOLVED, FIXED, 4, 3, 5,
43137, 128, RESOLVED, FIXED, 2, 3, 7,
44909, 68, RESOLVED, FIXED, 7, 3, 5,
44921, 40, RESOLVED, FIXED, 3, 3, 8,
44923, 23, RESOLVED, FIXED, 8, 3, 5,
45641, 83, NEW, (null), 0, 1, 6,
45652, 8, NEW, (null), 1, 2, 6,
45930, 42, NEW, (null), 2, 3, 6,
45937, 43, RESOLVED, FIXED, 2, 2, 5,
45965, 1, NEW, (null), 0, 1, 5,
46549, 65, NEW, (null), 11, 6, 8,
48071, 82, PATCH_TO_REVIEW, (null), 2, 2, 4,
48319, 75, RESOLVED, FIXED, 4, 4, 6,
49477, 12, NEW, (null), 2, 3, 7,
51342, 0, RESOLVED, FIXED, 8, 3, 5,
52538, 1, RESOLVED, FIXED, 4, 3, 4,
76, 23, RESOLVED, FIXED, 5, 5, 2,
490, 2068, RESOLVED, FIXED, 5, 3, 1,
598, 2054, RESOLVED, FIXED, 1, 2, 0,
616, 51, RESOLVED, FIXED, 4, 4, 0,
632, 514, RESOLVED, FIXED, 5, 5, 1,
1027, 1985, RESOLVED, FIXED, 3, 2, 0,
1029, 1985, RESOLVED, FIXED, 2, 3, 1,
1058, 1982, RESOLVED, FIXED, 7, 6, 3,
1179, 0, RESOLVED, FIXED, 1, 2, 0,
1211, 2298, RESOLVED, FIXED, 70, 30, 32,
1212, 1176, RESOLVED, FIXED, 49, 18, 15,
1222, 1963, RESOLVED, FIXED, 1, 2, 0,
1241, 1961, RESOLVED, FIXED, 1, 2, 0,
1242, 1961, RESOLVED, FIXED, 2, 3, 1,
1476, 1924, RESOLVED, FIXED, 21, 14, 7,
2081, 1835, RESOLVED, FIXED, 8, 3, 0,
2331, 1805, RESOLVED, FIXED, 2, 1, 1,
2835, 1, RESOLVED, FIXED, 5, 4, 0,
2861, 1765, RESOLVED, FIXED, 1, 2, 0,
4374, 67, RESOLVED, FIXED, 1, 2, 0,
4912, 1855, RESOLVED, FIXED, 22, 13, 13,
7023, 85, RESOLVED, FIXED, 11, 5, 0,
8200, 25, RESOLVED, FIXED, 5, 3, 0,
8787, 0, RESOLVED, FIXED, 1, 2, 0,
10763, 1018, RESOLVED, FIXED, 1, 2, 1,
13159, 0, RESOLVED, FIXED, 2, 3, 2,
13891, 0, RESOLVED, FIXED, 1, 2, 1,
14361, 4, RESOLVED, FIXED, 3, 2, 0,
15846, 4, RESOLVED, FIXED, 1, 2, 1,
16966, 217, RESOLVED, FIXED, 3, 3, 1,
18663, 623, RESOLVED, FIXED, 2, 3, 2,
19126, 0, RESOLVED, FIXED, 4, 3, 2,
19211, 0, RESOLVED, FIXED, 3, 3, 3,
20718, 0, RESOLVED, FIXED, 1, 2, 1,
24254, 435, RESOLVED, WONTFIX, 4, 4, 2,
25087, 1, RESOLVED, FIXED, 1, 2, 1,
25254, 105, RESOLVED, FIXED, 5, 2, 4,
26737, 2, RESOLVED, FIXED, 4, 2, 1,
27298, 0, RESOLVED, FIXED, 2, 1, 1,
28020, 400, RESOLVED, FIXED, 11, 2, 2,
29799, 664, RESOLVED, FIXED, 3, 3, 3,
30675, 545, NEW, (null), 5, 4, 7,
31550, 18, NEW, (null), 5, 3, 3,
31732, 558, RESOLVED, FIXED, 11, 6, 5,
31990, 23, RESOLVED, FIXED, 14, 6, 5,
32012, 117, NEW, (null), 8, 3, 2,
32946, 23, RESOLVED, FIXED, 15, 5, 5,
33238, 172, NEW, (null), 12, 5, 6,
33413, 61, RESOLVED, WONTFIX, 13, 7, 7,
33448, 0, NEW, (null), 3, 3, 4,
33614, 533, NEW, (null), 13, 7, 8,
33632, 397, RESOLVED, FIXED, 8, 3, 5,
33723, 5, NEW, (null), 0, 1, 2,
36964, 0, NEW, (null), 0, 1, 3,
42412, 149, RESOLVED, FIXED, 8, 2, 9,
43799, 102, RESOLVED, FIXED, 8, 4, 6,
43801, 102, RESOLVED, FIXED, 3, 1, 3,
43802, 41, RESOLVED, WONTFIX, 4, 2, 4,
43804, 102, RESOLVED, FIXED, 3, 2, 3,
44197, 15, NEW, (null), 2, 3, 3,
44782, 0, NEW, (null), 4, 2, 2,
45611, 6, NEW, (null), 6, 4, 10,
48824, 63, NEW, (null), 3, 3, 4,
41548, 36, NEW, (null), 0, 1, 1,
42168, 46, RESOLVED, FIXED, 6, 3, 6,
42291, 27, NEW, (null), 4, 2, 2,
42787, 19, RESOLVED, FIXED, 1, 2, 2,
42840, 5, NEW, (null), 0, 1, 1,
42915, 29, RESOLVED, FIXED, 4, 4, 4,
44156, 177, NEW, (null), 1, 2, 2,
44303, 13, NEW, (null), 0, 1, 1,
44898, 138, NEW, (null), 2, 2, 4,
45983, 1, NEW, (null), 1, 2, 3,
47271, 100, PATCH_TO_REVIEW, (null), 2, 2, 1,
50450, 5, NEW, (null), 3, 2, 1,
50451, 5, NEW, (null), 4, 2, 1,
602, 2053, RESOLVED, FIXED, 0, 1, 0,
768, 2029, CLOSED, FIXED, 2, 1, 1,
973, 1990, RESOLVED, FIXED, 4, 2, 0,
1976, 1845, RESOLVED, FIXED, 3, 3, 0,
2396, 1797, RESOLVED, FIXED, 62, 12, 12,
2442, 1792, RESOLVED, FIXED, 1, 2, 1,
2583, 0, RESOLVED, FIXED, 5, 3, 0,
2792, 1769, RESOLVED, FIXED, 3, 3, 0,
2999, 1750, RESOLVED, FIXED, 4, 2, 0,
3198, 0, RESOLVED, FIXED, 2, 2, 0,
3274, 1723, RESOLVED, FIXED, 1, 2, 0,
3447, 0, RESOLVED, FIXED, 2, 2, 0,
3734, 1670, RESOLVED, FIXED, 2, 2, 1,
3786, 1664, RESOLVED, FIXED, 4, 2, 0,
3904, 1432, RESOLVED, FIXED, 7, 2, 3,
4735, 1573, RESOLVED, FIXED, 2, 2, 0,
4825, 86, RESOLVED, FIXED, 5, 3, 0,
5129, 1861, RESOLVED, FIXED, 4, 5, 1,
5195, 1530, RESOLVED, FIXED, 15, 5, 1,
5508, 1497, RESOLVED, FIXED, 5, 5, 0,
5652, 95, RESOLVED, FIXED, 1, 1, 0,
6447, 634, RESOLVED, FIXED, 5, 4, 0,
6454, 0, RESOLVED, FIXED, 1, 2, 0,
6703, 8, RESOLVED, FIXED, 1, 1, 0,
6802, 2203, RESOLVED, FIXED, 3, 4, 3,
6855, 6, RESOLVED, FIXED, 1, 2, 0,
6856, 146, RESOLVED, FIXED, 1, 2, 0,
6956, 1375, RESOLVED, FIXED, 6, 3, 1,
7186, 200, RESOLVED, FIXED, 6, 4, 3,
7685, 1298, RESOLVED, FIXED, 13, 3, 0,
7830, 1285, RESOLVED, FIXED, 1, 2, 1,
7841, 1608, RESOLVED, FIXED, 1, 2, 0,
7948, 52, RESOLVED, FIXED, 3, 3, 0,
8176, 0, RESOLVED, FIXED, 2, 2, 0,
8255, 0, RESOLVED, FIXED, 2, 3, 0,
8256, 169, RESOLVED, FIXED, 1, 1, 0,
8323, 1242, RESOLVED, FIXED, 1, 2, 0,
8346, 1565, RESOLVED, FIXED, 1, 2, 0,
8447, 0, RESOLVED, FIXED, 1, 2, 0,
8558, 1221, RESOLVED, FIXED, 6, 4, 1,
8559, 1221, RESOLVED, FIXED, 1, 2, 0,
8984, 1510, RESOLVED, FIXED, 1, 2, 0,
9057, 0, RESOLVED, FIXED, 4, 3, 0,
9097, 10, RESOLVED, FIXED, 9, 4, 2,
9103, 28, RESOLVED, FIXED, 13, 5, 1,
9104, 2, RESOLVED, FIXED, 2, 2, 0,
9222, 0, RESOLVED, FIXED, 0, 1, 1,
9299, 1156, RESOLVED, FIXED, 2, 2, 0,
9300, 1156, RESOLVED, FIXED, 1, 2, 0,
9417, 1146, RESOLVED, FIXED, 4, 3, 0,
9909, 1909, RESOLVED, FIXED, 4, 5, 3,
10104, 2, RESOLVED, FIXED, 2, 3, 2,
10435, 0, RESOLVED, FIXED, 1, 2, 1,
10608, 0, RESOLVED, FIXED, 2, 2, 1,
10620, 1844, RESOLVED, FIXED, 2, 2, 1,
11082, 0, RESOLVED, FIXED, 1, 2, 0,
11084, 287, RESOLVED, FIXED, 3, 3, 1,
11136, 1800, RESOLVED, FIXED, 6, 2, 1,
11608, 949, RESOLVED, FIXED, 3, 2, 1,
11952, 1727, RESOLVED, FIXED, 1, 2, 2,
11980, 913, RESOLVED, FIXED, 1, 1, 0,
12584, 0, RESOLVED, FIXED, 3, 2, 0,
12768, 1654, RESOLVED, FIXED, 1, 2, 1,
13430, 1599, RESOLVED, FIXED, 1, 2, 1,
13454, 785, RESOLVED, FIXED, 1, 2, 1,
14372, 712, RESOLVED, FIXED, 2, 1, 0,
14412, 1521, RESOLVED, FIXED, 1, 2, 1,
14414, 1521, RESOLVED, FIXED, 5, 3, 2,
14907, 0, RESOLVED, FIXED, 1, 2, 1,
15441, 1810, NEW, (null), 18, 9, 9,
15815, 1401, RESOLVED, FIXED, 2, 2, 1,
15896, 1396, RESOLVED, FIXED, 3, 3, 2,
16645, 807, RESOLVED, FIXED, 7, 4, 4,
16937, 1520, CLOSED, FIXED, 41, 7, 11,
17150, 0, RESOLVED, FIXED, 1, 1, 0,
17332, 1278, RESOLVED, FIXED, 1, 2, 1,
17649, 445, RESOLVED, FIXED, 1, 2, 1,
17676, 1255, RESOLVED, FIXED, 2, 2, 3,
17713, 790, RESOLVED, FIXED, 4, 4, 3,
18909, 1167, RESOLVED, FIXED, 5, 3, 2,
19445, 1131, RESOLVED, FIXED, 1, 2, 0,
19570, 9, RESOLVED, FIXED, 1, 2, 2,
19591, 0, RESOLVED, FIXED, 2, 1, 1,
20468, 1161, REOPENED, (null), 9, 5, 3,
20953, 922, RESOLVED, FIXED, 6, 5, 3,
22613, 1264, RESOLVED, WONTFIX, 11, 2, 0,
24425, 12, RESOLVED, FIXED, 2, 3, 2,
25818, 522, RESOLVED, FIXED, 8, 5, 3,
26811, 917, PATCH_TO_REVIEW, (null), 5, 5, 5,
27283, 690, REOPENED, (null), 20, 7, 5,
27284, 542, NEW, (null), 1, 1, 2,
27659, 626, NEW, (null), 2, 2, 1,
27975, 753, REOPENED, (null), 9, 6, 3,
28478, 55, RESOLVED, FIXED, 5, 3, 2,
29979, 267, NEW, (null), 1, 1, 1,
31223, 156, NEW, (null), 3, 3, 3,
31241, 604, RESOLVED, FIXED, 2, 3, 2,
31624, 183, RESOLVED, FIXED, 3, 3, 4,
31913, 32, NEW, (null), 10, 4, 2,
32478, 6, NEW, (null), 6, 3, 4,
32551, 549, REOPENED, (null), 19, 10, 9,
32786, 3, RESOLVED, FIXED, 6, 3, 3,
32858, 29, RESOLVED, WONTFIX, 36, 10, 11,
33290, 522, NEW, (null), 3, 3, 4,
33736, 254, NEW, (null), 0, 1, 2,
34156, 0, NEW, (null), 0, 1, 2,
37030, 80, RESOLVED, FIXED, 11, 4, 9,
37159, 216, NEW, (null), 1, 1, 0,
37352, 320, RESOLVED, FIXED, 3, 2, 4,
38110, 213, RESOLVED, FIXED, 7, 3, 3,
38916, 359, NEW, (null), 1, 2, 0,
40866, 83, NEW, (null), 0, 1, 0,
41394, 68, NEW, (null), 0, 1, 3,
41705, 58, NEW, (null), 0, 1, 0,
41707, 58, NEW, (null), 0, 1, 0,
43452, 110, RESOLVED, FIXED, 2, 2, 3,
43576, 1, NEW, (null), 0, 1, 1,
44564, 0, NEW, (null), 1, 2, 1,
44790, 141, NEW, (null), 6, 2, 2,
46134, 5, NEW, (null), 0, 1, 1,
48853, 5, NEW, (null), 2, 2, 1,
49254, 4, REOPENED, (null), 3, 3, 1,
49529, 0, NEW, (null), 0, 1, 0,
50078, 2, RESOLVED, FIXED, 8, 3, 1,
50091, 23, NEW, (null), 2, 2, 2,
50778, 3, NEW, (null), 0, 1, 0,
14872, 151, RESOLVED, FIXED, 3, 3, 1,
28868, 711, NEW, (null), 10, 3, 4,
37764, 399, PATCH_TO_REVIEW, (null), 8, 5, 6,
47618, 111, NEW, (null), 5, 3, 3,
2377, 1736, RESOLVED, FIXED, 1, 2, 0,
9622, 1122, RESOLVED, FIXED, 1, 2, 0,
9719, 13, RESOLVED, FIXED, 3, 3, 0,
9791, 0, RESOLVED, FIXED, 1, 2, 0,
9896, 126, RESOLVED, FIXED, 4, 4, 1,
12384, 209, RESOLVED, FIXED, 1, 2, 1,
19564, 12, RESOLVED, FIXED, 5, 4, 2,
24648, 2, RESOLVED, FIXED, 1, 2, 1,
40143, 200, RESOLVED, FIXED, 3, 3, 5,
40485, 97, NEW, (null), 1, 2, 2,
40762, 255, RESOLVED, FIXED, 6, 5, 3,
42687, 26, NEW, (null), 0, 1, 0,
50552, 44, RESOLVED, FIXED, 9, 4, 13,
51629, 26, NEW, (null), 1, 2, 2,
6957, 1229, RESOLVED, FIXED, 9, 5, 2,
9537, 1132, RESOLVED, FIXED, 1, 2, 0,
9638, 1120, RESOLVED, FIXED, 3, 4, 1,
11567, 953, RESOLVED, FIXED, 7, 3, 4,
12327, 36, RESOLVED, FIXED, 1, 2, 0,
15055, 647, RESOLVED, FIXED, 3, 2, 0,
17620, 23, RESOLVED, FIXED, 10, 7, 8,
19468, 12, RESOLVED, FIXED, 7, 6, 6,
22222, 0, RESOLVED, FIXED, 5, 2, 2,
26910, 1, CLOSED, FIXED, 4, 3, 3,
27526, 422, RESOLVED, FIXED, 3, 3, 2,
29259, 97, RESOLVED, WONTFIX, 1, 2, 2,
29282, 154, NEW, (null), 6, 4, 2,
29993, 29, RESOLVED, FIXED, 5, 2, 3,
30260, 456, NEW, (null), 7, 5, 3,
32285, 1, NEW, (null), 0, 1, 1,
37155, 367, NEW, (null), 3, 2, 1,
38874, 322, NEW, (null), 8, 4, 6,
44206, 0, NEW, (null), 1, 2, 2,
45413, 3, NEW, (null), 5, 3, 3,
51519, 0, NEW, (null), 1, 2, 1,
4520, 2015, NEW, (null), 5, 4, 4,
9226, 578, RESOLVED, FIXED, 8, 6, 1,
12507, 1251, NEW, (null), 4, 3, 6,
16875, 923, NEW, (null), 4, 3, 6,
17374, 718, RESOLVED, FIXED, 7, 4, 2,
18031, 28, RESOLVED, FIXED, 4, 3, 3,
18180, 764, RESOLVED, FIXED, 12, 4, 3,
20064, 65, RESOLVED, FIXED, 11, 5, 3,
21000, 667, NEW, (null), 2, 3, 2,
21762, 1291, RESOLVED, FIXED, 16, 4, 4,
23036, 0, RESOLVED, FIXED, 1, 2, 1,
24155, 0, RESOLVED, FIXED, 2, 3, 2,
25599, 28, RESOLVED, FIXED, 1, 1, 0,
27486, 2, RESOLVED, FIXED, 3, 4, 3,
28449, 371, RESOLVED, FIXED, 1, 2, 3,
28666, 355, NEW, (null), 4, 3, 1,
29571, 3, NEW, (null), 0, 1, 1,
32876, 559, NEW, (null), 4, 4, 3,
40010, 116, NEW, (null), 0, 1, 0,
43868, 25, NEW, (null), 1, 1, 1,
45823, 0, NEW, (null), 0, 1, 3,
51105, 34, NEW, (null), 4, 2, 1,
68, 2376, RESOLVED, FIXED, 7, 6, 3,
187, 296, RESOLVED, FIXED, 4, 3, 2,
236, 2086, RESOLVED, FIXED, 1, 2, 0,
532, 824, RESOLVED, FIXED, 5, 5, 0,
689, 2041, RESOLVED, FIXED, 8, 5, 2,
889, 1259, RESOLVED, FIXED, 10, 9, 4,
990, 1988, RESOLVED, FIXED, 1, 2, 0,
1010, 1986, RESOLVED, FIXED, 2, 2, 0,
1014, 1986, RESOLVED, FIXED, 1, 2, 0,
1317, 1949, RESOLVED, FIXED, 2, 3, 0,
1371, 1941, RESOLVED, FIXED, 4, 4, 0,
1642, 1895, RESOLVED, FIXED, 6, 2, 0,
2077, 1836, RESOLVED, FIXED, 7, 5, 2,
2110, 1833, RESOLVED, FIXED, 2, 2, 1,
2258, 1813, RESOLVED, FIXED, 5, 3, 0,
2490, 1787, RESOLVED, FIXED, 4, 4, 0,
2532, 1784, RESOLVED, FIXED, 18, 8, 7,
2616, 1780, RESOLVED, FIXED, 6, 4, 0,
2632, 1779, RESOLVED, FIXED, 3, 2, 2,
2691, 1776, RESOLVED, FIXED, 3, 2, 0,
2726, 1773, RESOLVED, FIXED, 10, 7, 4,
2780, 1770, RESOLVED, FIXED, 5, 4, 2,
2789, 1769, RESOLVED, FIXED, 1, 2, 0,
3117, 1737, RESOLVED, FIXED, 6, 3, 1,
3127, 1737, RESOLVED, FIXED, 1, 2, 1,
3537, 2740, NEW, (null), 15, 7, 7,
3585, 1686, RESOLVED, FIXED, 1, 2, 0,
3643, 1681, RESOLVED, FIXED, 4, 2, 1,
3691, 1160, RESOLVED, FIXED, 10, 2, 2,
3806, 0, RESOLVED, FIXED, 1, 2, 0,
3828, 104, RESOLVED, FIXED, 1, 1, 0,
4162, 0, RESOLVED, FIXED, 1, 1, 0,
4207, 6, RESOLVED, FIXED, 2, 2, 0,
4255, 179, RESOLVED, FIXED, 4, 2, 0,
4567, 46, RESOLVED, FIXED, 2, 2, 0,
5108, 960, RESOLVED, FIXED, 2, 3, 1,
5109, 2, RESOLVED, FIXED, 2, 2, 0,
5110, 2, RESOLVED, FIXED, 3, 2, 0,
5160, 1533, RESOLVED, FIXED, 1, 2, 0,
5269, 1084, RESOLVED, FIXED, 2, 3, 2,
5325, 936, RESOLVED, FIXED, 11, 10, 6,
5428, 293, RESOLVED, FIXED, 5, 4, 1,
5439, 381, RESOLVED, FIXED, 5, 4, 1,
5506, 979, RESOLVED, FIXED, 9, 7, 6,
5586, 23, RESOLVED, FIXED, 1, 2, 0,
5670, 0, VERIFIED, FIXED, 3, 2, 0,
5677, 1484, RESOLVED, FIXED, 1, 2, 1,
5694, 360, RESOLVED, FIXED, 6, 5, 0,
5970, 118, RESOLVED, FIXED, 9, 4, 1,
6022, 1456, RESOLVED, FIXED, 2, 3, 0,
6398, 0, RESOLVED, FIXED, 2, 2, 0,
6622, 0, RESOLVED, FIXED, 2, 1, 1,
8038, 1760, RESOLVED, FIXED, 2, 2, 0,
8045, 177, RESOLVED, FIXED, 2, 3, 0,
8335, 1, RESOLVED, FIXED, 3, 4, 0,
8417, 8, RESOLVED, FIXED, 1, 2, 0,
8666, 91, RESOLVED, FIXED, 6, 4, 0,
9053, 202, RESOLVED, FIXED, 4, 3, 3,
9087, 1477, RESOLVED, FIXED, 6, 4, 4,
9483, 0, RESOLVED, FIXED, 3, 3, 0,
9558, 228, RESOLVED, FIXED, 1, 1, 0,
9832, 2003, NEW, (null), 10, 6, 5,
10501, 1914, RESOLVED, FIXED, 3, 4, 6,
10586, 457, RESOLVED, FIXED, 3, 3, 1,
10756, 1019, RESOLVED, FIXED, 1, 2, 1,
10783, 19, RESOLVED, FIXED, 3, 1, 0,
11079, 0, RESOLVED, FIXED, 1, 2, 0,
11321, 0, RESOLVED, FIXED, 2, 1, 0,
11822, 1275, RESOLVED, FIXED, 22, 8, 9,
12919, 0, RESOLVED, FIXED, 1, 2, 1,
12935, 6, RESOLVED, FIXED, 2, 2, 1,
13210, 805, RESOLVED, FIXED, 2, 2, 0,
13776, 757, RESOLVED, FIXED, 3, 2, 1,
14084, 734, RESOLVED, FIXED, 2, 2, 1,
14745, 0, RESOLVED, FIXED, 1, 2, 2,
14772, 674, RESOLVED, FIXED, 1, 2, 1,
15008, 905, RESOLVED, FIXED, 3, 4, 4,
15140, 0, RESOLVED, FIXED, 7, 2, 1,
15760, 388, RESOLVED, FIXED, 4, 1, 2,
16451, 415, RESOLVED, FIXED, 37, 14, 14,
16583, 363, RESOLVED, FIXED, 23, 9, 8,
16806, 554, RESOLVED, FIXED, 6, 5, 4,
17085, 290, RESOLVED, FIXED, 1, 2, 1,
17304, 517, RESOLVED, FIXED, 2, 3, 2,
17614, 796, RESOLVED, FIXED, 3, 3, 2,
18033, 677, RESOLVED, FIXED, 5, 3, 9,
18115, 249, RESOLVED, FIXED, 4, 2, 0,
18127, 1546, RESOLVED, FIXED, 4, 4, 4,
18248, 1456, NEW, (null), 16, 8, 17,
18326, 756, RESOLVED, FIXED, 2, 2, 1,
18420, 16, RESOLVED, FIXED, 1, 2, 0,
18571, 0, RESOLVED, FIXED, 1, 2, 1,
18691, 675, RESOLVED, FIXED, 8, 3, 3,
19053, 519, RESOLVED, FIXED, 3, 2, 3,
19240, 0, RESOLVED, FIXED, 2, 2, 0,
19633, 478, RESOLVED, FIXED, 7, 4, 5,
20159, 114, RESOLVED, FIXED, 3, 3, 3,
20364, 0, RESOLVED, FIXED, 3, 3, 1,
20489, 85, RESOLVED, FIXED, 1, 2, 0,
