BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
30384, 28, RESOLVED, FIXED, 28, 7, 7,
27967, 205, RESOLVED, FIXED, 10, 5, 6,
28998, 2, RESOLVED, FIXED, 2, 2, 3,
31044, 594, RESOLVED, FIXED, 9, 6, 6,
34542, 434, RESOLVED, FIXED, 13, 6, 8,
31249, 16, RESOLVED, FIXED, 13, 10, 9,
2309, 1807, RESOLVED, FIXED, 10, 4, 3,
28794, 58, RESOLVED, FIXED, 4, 2, 1,
30505, 4, RESOLVED, FIXED, 3, 3, 6,
31496, 8, RESOLVED, FIXED, 8, 4, 4,
48306, 85, RESOLVED, FIXED, 42, 7, 15,
28352, 18, RESOLVED, FIXED, 6, 3, 5,
29511, 303, RESOLVED, FIXED, 2, 3, 2,
31064, 0, RESOLVED, FIXED, 3, 2, 2,
19452, 361, RESOLVED, FIXED, 6, 5, 3,
9667, 0, RESOLVED, FIXED, 2, 3, 1,
14336, 1065, RESOLVED, FIXED, 13, 3, 2,
26937, 61, RESOLVED, FIXED, 5, 4, 3,
26612, 576, RESOLVED, FIXED, 9, 7, 6,
41196, 68, RESOLVED, FIXED, 2, 2, 3,
42370, 89, RESOLVED, FIXED, 9, 5, 9,
2046, 1839, RESOLVED, FIXED, 1, 1, 0,
7385, 1330, RESOLVED, FIXED, 2, 2, 0,
9329, 0, RESOLVED, FIXED, 1, 2, 0,
28804, 705, RESOLVED, FIXED, 3, 3, 3,
34203, 3, RESOLVED, FIXED, 4, 1, 1,
48721, 2, NEW, (null), 1, 2, 1,
3841, 2425, RESOLVED, FIXED, 3, 3, 1,
27053, 19, RESOLVED, FIXED, 5, 4, 3,
29399, 417, RESOLVED, FIXED, 5, 4, 3,
31822, 27, RESOLVED, FIXED, 3, 3, 4,
38411, 394, REOPENED, (null), 26, 5, 4,
33045, 71, RESOLVED, FIXED, 6, 4, 3,
2673, 228, RESOLVED, FIXED, 4, 4, 0,
12154, 3, RESOLVED, FIXED, 5, 2, 3,
15344, 0, RESOLVED, FIXED, 3, 2, 3,
36988, 6, RESOLVED, FIXED, 4, 5, 6,
31983, 339, RESOLVED, FIXED, 9, 7, 8,
35046, 35, RESOLVED, FIXED, 5, 5, 4,
36724, 0, RESOLVED, FIXED, 3, 4, 2,
51542, 5, RESOLVED, FIXED, 2, 2, 3,
43221, 125, RESOLVED, FIXED, 9, 6, 9,
41617, 172, RESOLVED, FIXED, 4, 3, 4,
2018, 2406, RESOLVED, FIXED, 1, 2, 0,
3168, 1732, RESOLVED, FIXED, 2, 2, 0,
6737, 156, RESOLVED, FIXED, 9, 5, 3,
11598, 950, RESOLVED, FIXED, 3, 2, 2,
30383, 74, RESOLVED, FIXED, 5, 5, 4,
43533, 112, RESOLVED, FIXED, 17, 4, 4,
45288, 152, PATCH_TO_REVIEW, (null), 18, 10, 9,
39639, 116, NEW, (null), 1, 1, 0,
26552, 1, RESOLVED, FIXED, 7, 3, 4,
29277, 672, VERIFIED, FIXED, 11, 6, 9,
42730, 43, NEW, (null), 16, 8, 9,
44044, 95, RESOLVED, FIXED, 28, 5, 7,
1477, 1924, RESOLVED, FIXED, 4, 2, 0,
3681, 0, RESOLVED, FIXED, 3, 4, 0,
4549, 42, RESOLVED, FIXED, 15, 10, 2,
6055, 0, RESOLVED, FIXED, 1, 2, 0,
6929, 66, RESOLVED, FIXED, 13, 4, 2,
7888, 2, RESOLVED, FIXED, 8, 4, 0,
8148, 1559, CLOSED, FIXED, 14, 4, 1,
27761, 2, RESOLVED, FIXED, 6, 4, 8,
42167, 157, RESOLVED, FIXED, 3, 3, 3,
43516, 134, RESOLVED, FIXED, 27, 11, 21,
43805, 193, NEW, (null), 14, 4, 9,
44391, 122, RESOLVED, FIXED, 3, 4, 7,
46427, 1, RESOLVED, FIXED, 8, 4, 11,
49338, 53, ASSIGNED, (null), 6, 3, 6,
52781, 3, NEW, (null), 8, 2, 1,
968, 1991, RESOLVED, FIXED, 3, 3, 0,
5043, 1545, RESOLVED, FIXED, 9, 3, 1,
27171, 48, RESOLVED, FIXED, 5, 4, 3,
7562, 1309, RESOLVED, FIXED, 13, 3, 0,
41886, 25, RESOLVED, FIXED, 15, 6, 11,
42097, 2, RESOLVED, FIXED, 12, 7, 8,
42513, 52, RESOLVED, FIXED, 16, 4, 4,
44327, 103, RESOLVED, FIXED, 25, 13, 16,
46934, 57, REOPENED, (null), 15, 6, 8,
1150, 1969, RESOLVED, FIXED, 38, 17, 9,
12772, 33, RESOLVED, FIXED, 2, 2, 2,
12990, 823, RESOLVED, FIXED, 5, 2, 0,
31576, 356, RESOLVED, FIXED, 60, 18, 27,
46115, 52, NEW, (null), 7, 5, 6,
34508, 293, RESOLVED, FIXED, 36, 9, 11,
34195, 89, RESOLVED, FIXED, 8, 3, 9,
21279, 1100, RESOLVED, FIXED, 45, 10, 19,
2906, 0, RESOLVED, FIXED, 1, 2, 0,
34825, 2, RESOLVED, FIXED, 9, 5, 4,
11668, 943, RESOLVED, FIXED, 9, 5, 5,
12611, 2, RESOLVED, FIXED, 3, 4, 2,
16143, 6, RESOLVED, FIXED, 4, 3, 3,
39975, 17, RESOLVED, FIXED, 14, 5, 11,
33101, 2, RESOLVED, FIXED, 8, 6, 6,
36849, 0, RESOLVED, FIXED, 2, 2, 3,
3631, 2, RESOLVED, FIXED, 11, 3, 1,
6464, 839, RESOLVED, FIXED, 46, 16, 11,
4389, 0, RESOLVED, FIXED, 2, 2, 0,
28070, 507, RESOLVED, FIXED, 16, 7, 6,
8772, 118, RESOLVED, FIXED, 5, 3, 1,
31679, 0, RESOLVED, FIXED, 1, 2, 6,
35646, 3, RESOLVED, FIXED, 10, 2, 4,
38633, 164, RESOLVED, FIXED, 3, 2, 5,
41494, 3, RESOLVED, FIXED, 2, 3, 7,
41990, 162, RESOLVED, FIXED, 5, 3, 6,
42202, 77, RESOLVED, FIXED, 8, 6, 10,
43177, 126, RESOLVED, FIXED, 5, 3, 5,
43820, 102, RESOLVED, FIXED, 3, 3, 8,
44202, 91, RESOLVED, FIXED, 2, 2, 7,
48201, 48, RESOLVED, FIXED, 9, 7, 8,
52077, 19, RESOLVED, FIXED, 8, 5, 18,
52830, 3, RESOLVED, FIXED, 3, 3, 6,
5346, 2585, RESOLVED, FIXED, 15, 9, 8,
11417, 967, RESOLVED, FIXED, 2, 2, 1,
13668, 766, RESOLVED, FIXED, 2, 1, 0,
43740, 103, RESOLVED, FIXED, 10, 4, 7,
41089, 0, RESOLVED, FIXED, 1, 2, 3,
41280, 2, RESOLVED, FIXED, 7, 5, 7,
41352, 180, RESOLVED, FIXED, 21, 9, 13,
49435, 14, NEW, (null), 2, 1, 5,
6712, 1398, RESOLVED, FIXED, 14, 4, 0,
10039, 1084, RESOLVED, FIXED, 1, 2, 1,
12314, 7, CLOSED, FIXED, 5, 2, 1,
12732, 1656, RESOLVED, FIXED, 5, 3, 2,
12784, 1653, RESOLVED, FIXED, 3, 2, 1,
29233, 181, RESOLVED, FIXED, 10, 6, 4,
40877, 87, RESOLVED, FIXED, 2, 3, 3,
43475, 209, PATCH_TO_REVIEW, (null), 14, 6, 12,
47375, 117, NEW, (null), 4, 3, 4,
35019, 33, RESOLVED, FIXED, 5, 4, 5,
35441, 59, RESOLVED, FIXED, 7, 4, 6,
49749, 1, NEW, (null), 5, 3, 4,
33564, 95, RESOLVED, FIXED, 3, 2, 2,
45584, 94, NEW, (null), 3, 4, 6,
47975, 0, RESOLVED, FIXED, 3, 3, 2,
4478, 56, RESOLVED, FIXED, 11, 6, 0,
5463, 656, RESOLVED, FIXED, 29, 14, 4,
6672, 2081, RESOLVED, FIXED, 60, 13, 16,
9497, 2308, RESOLVED, FIXED, 49, 19, 18,
12645, 333, RESOLVED, FIXED, 4, 3, 3,
12981, 491, RESOLVED, FIXED, 3, 3, 0,
13943, 741, RESOLVED, FIXED, 6, 3, 3,
26233, 540, RESOLVED, FIXED, 17, 11, 14,
27465, 424, RESOLVED, FIXED, 16, 7, 9,
27508, 423, RESOLVED, FIXED, 9, 4, 3,
37129, 152, RESOLVED, FIXED, 5, 4, 4,
40048, 3, RESOLVED, FIXED, 6, 4, 7,
41113, 223, RESOLVED, FIXED, 16, 8, 11,
42302, 5, RESOLVED, FIXED, 4, 3, 4,
49841, 0, NEW, (null), 4, 2, 4,
52200, 12, PATCH_TO_REVIEW, (null), 15, 5, 9,
327, 149, RESOLVED, FIXED, 3, 3, 1,
478, 0, RESOLVED, FIXED, 1, 2, 0,
566, 293, RESOLVED, FIXED, 3, 4, 0,
1287, 746, RESOLVED, FIXED, 5, 3, 26,
2319, 1806, RESOLVED, FIXED, 1, 2, 0,
9213, 1419, RESOLVED, FIXED, 35, 17, 14,
9325, 1154, RESOLVED, FIXED, 4, 4, 2,
11705, 4, RESOLVED, FIXED, 4, 5, 3,
12294, 99, RESOLVED, FIXED, 3, 4, 5,
27690, 10, RESOLVED, FIXED, 9, 6, 7,
29088, 687, RESOLVED, FIXED, 6, 4, 4,
31362, 197, RESOLVED, FIXED, 8, 6, 6,
32276, 72, RESOLVED, FIXED, 19, 8, 6,
