BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory ,
157591,1299, RESOLVED, WORKSFORME,2,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
159182,1816, RESOLVED, WORKSFORME,2,3,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
159801,1495, RESOLVED, WORKSFORME,3,4,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
164141,1055, RESOLVED, WORKSFORME,1,1,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
166721,199, RESOLVED, WORKSFORME,2,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
170989,986, RESOLVED, WORKSFORME,2,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
175741,946, RESOLVED, WORKSFORME,2,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
185675,415, RESOLVED, WORKSFORME,6,3,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
186844,870, RESOLVED, WORKSFORME,2,1,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
186888,870, RESOLVED, WORKSFORME,2,1,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
187986,58, RESOLVED, WORKSFORME,2,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
188169,31, RESOLVED, WORKSFORME,1,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
188964,5, RESOLVED, WORKSFORME,2,1,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
190104,104, RESOLVED, WORKSFORME,2,3,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
190649,852, RESOLVED, WORKSFORME,2,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
193778,1020, RESOLVED, WORKSFORME,9,5,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
195146,58, RESOLVED, WORKSFORME,2,2,0,NEW > ASSIGNED > RESOLVED, --- > WORKSFORME, , 
198146,796, RESOLVED, WORKSFORME,4,3,2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
200317,3, RESOLVED, WORKSFORME,3,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
200689,771, RESOLVED, WORKSFORME,3,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
201995,760, RESOLVED, WORKSFORME,13,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
202140,42, RESOLVED, WORKSFORME,2,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
202835,751, RESOLVED, WORKSFORME,2,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
206280,717, RESOLVED, WORKSFORME,2,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
207214,553, RESOLVED, WORKSFORME,3,4,3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
207674,537, RESOLVED, WORKSFORME,2,3,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
208687,697, RESOLVED, WORKSFORME,3,2,2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
209628,274, RESOLVED, WORKSFORME,4,4,3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
211061,506, RESOLVED, WORKSFORME,2,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
211166,673, RESOLVED, WORKSFORME,1,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
213189,653, RESOLVED, WORKSFORME,2,3,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
213472,574, RESOLVED, WORKSFORME,3,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
213670,650, RESOLVED, WORKSFORME,2,3,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
215170,8, RESOLVED, WORKSFORME,4,3,2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
215913,16, VERIFIED, FIXED,7,2,3,NEW > RESOLVED > REOPENED > NEW > RESOLVED > VERIFIED, --- > WORKSFORME > --- > FIXED, , 
216058,618, RESOLVED, WORKSFORME,4,3,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
216307,20, RESOLVED, WORKSFORME,3,3,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
216830,611, RESOLVED, WORKSFORME,2,2,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
217248,796, RESOLVED, WORKSFORME,2,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
218184,822, RESOLVED, WORKSFORME,3,4,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
221033,579, RESOLVED, WORKSFORME,2,2,2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
221098,577, RESOLVED, WORKSFORME,2,3,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
222655,48, RESOLVED, WORKSFORME,3,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
223624,556, RESOLVED, WORKSFORME,1,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
225875,609, RESOLVED, WORKSFORME,3,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
226177,373, RESOLVED, WORKSFORME,4,4,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
228657,0, RESOLVED, WORKSFORME,1,2,1,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
232671,501, RESOLVED, NOT_ECLIPSE,5,3,1,NEW > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > NOT_ECLIPSE, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (NOT_ECLIPSE) , 
232823,499, RESOLVED, WORKSFORME,17,5,2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
235122,672, RESOLVED, WORKSFORME,2,3,0,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
237534,470, RESOLVED, WORKSFORME,8,4,3,NEW > RESOLVED > REOPENED > RESOLVED > REOPENED > RESOLVED, --- > WORKSFORME > --- > WORKSFORME > --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (WORKSFORME) > REOPENED (---) > RESOLVED (WORKSFORME) , 
