BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory 
29611,7, CLOSED, FIXED,5,3,2,,,
29612,7, CLOSED, FIXED,2,2,2,,,
29614,8, CLOSED, FIXED,4,2,2,,,
29685,13, CLOSED, FIXED,5,2,1,,,
29866,1, CLOSED, WONTFIX,2,2,1,,,
29950,1604, NEW, (null),7,5,1,,,
30096,1172, NEW, (null),3,3,0,,,
30111,1602, NEW, (null),8,4,2,,,
30249,2557, NEW, (null),7,4,4,,,
30266,13, CLOSED, FIXED,12,5,4,,,
30352,63, CLOSED, WONTFIX,9,5,4,,,
30570,28, VERIFIED, FIXED,12,3,0,,,
30585,1, VERIFIED, FIXED,2,2,0,,,
30854,107, CLOSED, FIXED,23,7,6,,,
30945,0, VERIFIED, FIXED,4,2,0,,,
30954,2380, NEW, (null),10,5,3,,,
30994,731, NEW, (null),8,4,2,,,
31278,2624, NEW, (null),6,5,6,,,
31305,3195, REOPENED, (null),21,13,14,,,
31448,1375, CLOSED, FIXED,4,3,1,,,
31627,12, CLOSED, FIXED,8,4,3,,,
31677,2372, NEW, (null),3,4,4,,,
31973,2, VERIFIED, FIXED,5,3,0,,,
32122,20, VERIFIED, FIXED,4,3,0,,,
32240,1003, NEW, (null),0,1,1,,,
32249,42, VERIFIED, FIXED,1,1,0,,,
32251,3411, CLOSED, WONTFIX,12,7,6,,,
32253,285, NEW, (null),2,2,0,,,
32286,22, CLOSED, FIXED,2,2,0,,,
32359,21, CLOSED, FIXED,2,2,0,,,
32360,1, VERIFIED, FIXED,3,2,3,,,
32446,10, VERIFIED, WONTFIX,2,2,1,,,
32599,22, VERIFIED, WONTFIX,4,3,1,,,
32672,3405, CLOSED, WONTFIX,1,2,0,,,
32864,2528, NEW, (null),0,1,3,,,
33093,2527, NEW, (null),7,4,5,,,
33487,3401, CLOSED, WONTFIX,6,4,3,,,
33495,214, NEW, (null),10,3,3,,,
33500,17, NEW, (null),6,4,1,,,
33659,3804, NEW, (null),24,10,9,,,
33841,6, CLOSED, WONTFIX,2,2,0,,,
34093,12, VERIFIED, FIXED,12,6,2,,,
34163,2351, NEW, (null),3,2,0,,,
34239,2352, NEW, (null),4,4,3,,,
34248,21, CLOSED, FIXED,10,3,0,,,
34283,29, VERIFIED, FIXED,4,4,1,,,
34454,3390, CLOSED, WONTFIX,2,3,4,,,
34463,17, VERIFIED, FIXED,3,3,1,,,
34477,3390, CLOSED, WONTFIX,3,3,3,,,
34649,16, VERIFIED, FIXED,3,3,0,,,
34652,2513, NEW, (null),1,2,3,,,
34655,2513, NEW, (null),2,2,3,,,
34835,15, VERIFIED, FIXED,3,2,1,,,
34970,951, NEW, (null),10,8,5,,,
35183,468, CLOSED, FIXED,12,7,6,,,
35319,53, VERIFIED, FIXED,19,6,5,,,
35424,2336, NEW, (null),2,2,1,,,
35435,0, CLOSED, WONTFIX,2,2,0,,,
35644,1844, NEW, (null),18,7,10,,,
35663,3375, CLOSED, WONTFIX,3,3,2,,,
35665,2347, NEW, (null),8,4,0,,,
35735,3374, CLOSED, WONTFIX,7,3,3,,,
35783,2497, NEW, (null),0,1,4,,,
35790,1921, NEW, (null),11,3,1,,,
35930,2330, NEW, (null),11,3,2,,,
36022,2337, NEW, (null),2,3,1,,,
36042,2338, NEW, (null),9,8,3,,,
36422,2482, NEW, (null),1,2,3,,,
36441,2312, NEW, (null),4,3,3,,,
36464,31, CLOSED, FIXED,8,6,3,,,
36477,2316, NEW, (null),12,5,4,,,
36541,49, VERIFIED, FIXED,10,4,1,,,
36998,2299, NEW, (null),1,2,0,,,
37000,3342, CLOSED, WONTFIX,3,4,2,,,
37393,8, NEW, (null),2,2,1,,,
37403,800, NEW, (null),4,3,1,,,
37427,2289, NEW, (null),9,4,2,,,
37505,21, VERIFIED, FIXED,14,5,3,,,
37530,712, REOPENED, (null),9,5,4,,,
37740,467, VERIFIED, FIXED,10,3,1,,,
37767,179, NEW, (null),5,2,2,,,
37768,0, NEW, (null),1,2,1,,,
37998,3406, NEW, (null),27,15,55,,,
38010,3317, CLOSED, WONTFIX,3,3,2,,,
38017,3317, CLOSED, WONTFIX,3,4,2,,,
38022,3317, CLOSED, WONTFIX,3,4,2,,,
38073,472, NEW, (null),19,4,2,,,
38186,919, NEW, (null),6,4,3,,,
38203,2263, NEW, (null),6,5,3,,,
38721,630, CLOSED, FIXED,3,3,0,,,
38952,2417, NEW, (null),1,1,3,,,
38975,457, CLOSED, FIXED,11,4,5,,,
38991,2569, NEW, (null),13,7,7,,,
39030,3291, CLOSED, WONTFIX,7,5,3,,,
39046,2242, NEW, (null),6,3,2,,,
39084,18, VERIFIED, FIXED,3,2,2,,,
39184,2317, REOPENED, (null),8,6,6,,,
39333,2256, NEW, (null),23,11,2,,,
39615,126, CLOSED, WONTFIX,6,4,2,,,
39996,1436, NEW, (null),2,2,5,,,
39997,1436, NEW, (null),3,3,1,,,
40051,2388, NEW, (null),8,3,4,,,
40663,252, VERIFIED, FIXED,8,5,1,,,
40765,2254, NEW, (null),1,1,0,,,
40983,7, NEW, (null),2,3,1,,,
41090,284, CLOSED, FIXED,41,7,7,,,
41240,1456, NEW, (null),8,2,4,,,
41403,247, NEW, (null),3,4,0,,,
41474,3282, NEW, (null),16,3,7,,,
41552,3235, CLOSED, WONTFIX,4,4,1,,,
41968,2194, NEW, (null),8,3,2,,,
42114,341, REOPENED, (null),12,3,0,,,
42167,966, NEW, (null),12,3,1,,,
42292,2341, NEW, (null),4,4,5,,,
42296,2190, NEW, (null),4,2,0,,,
42390,1381, NEW, (null),1,2,2,,,
42416,945, NEW, (null),6,5,6,,,
42428,2338, NEW, (null),0,1,3,,,
42500,2174, NEW, (null),6,4,2,,,
42730,1584, CLOSED, FIXED,3,1,1,,,
42826,539, CLOSED, WONTFIX,6,4,2,,,
43004,2656, NEW, (null),4,3,1,,,
43037,2160, NEW, (null),1,2,2,,,
43706,1349, CLOSED, FIXED,7,5,2,,,
43875,38, NEW, (null),2,2,1,,,
43990,13, NEW, (null),14,3,1,,,
44063,182, CLOSED, FIXED,3,2,1,,,
44122,2308, NEW, (null),6,4,4,,,
44344,2141, NEW, (null),3,2,0,,,
44533,2150, NEW, (null),6,3,0,,,
44943,135, VERIFIED, FIXED,6,3,0,,,
45267,1658, CLOSED, FIXED,9,3,3,,,
45338,0, NEW, (null),0,1,0,,,
45453,19, VERIFIED, FIXED,11,2,0,,,
45568,2285, NEW, (null),1,2,3,,,
45845,117, VERIFIED, FIXED,20,5,7,,,
45877,188, VERIFIED, FIXED,6,2,4,,,
45918,1773, VERIFIED, FIXED,25,14,7,,,
46015,3152, CLOSED, WONTFIX,1,2,2,,,
46128,2106, NEW, (null),2,3,1,,,
46521,2105, NEW, (null),6,5,2,,,
46543,3143, CLOSED, WONTFIX,16,4,3,,,
46556,513, REOPENED, (null),19,6,4,,,
46962,1464, NEW, (null),20,6,7,,,
47365,3131, CLOSED, WONTFIX,5,4,3,,,
47437,2, NEW, (null),3,2,1,,,
47530,77, VERIFIED, FIXED,3,3,1,,,
47582,2, NEW, (null),5,2,0,,,
47667,2100, NEW, (null),5,2,2,,,
47872,913, NEW, (null),0,1,0,,,
48310,2089, NEW, (null),2,2,0,,,
48825,841, NEW, (null),3,3,0,,,
48849,155, VERIFIED, FIXED,9,6,2,,,
49018,2065, NEW, (null),12,5,2,,,
49471,818, VERIFIED, FIXED,12,3,1,,,
49531,3089, CLOSED, WONTFIX,3,3,2,,,
49616,0, NEW, (null),1,2,0,,,
49667,1258, NEW, (null),6,3,3,,,
49969,2051, NEW, (null),5,3,3,,,
50020,3383, NEW, (null),16,9,12,,,
50028,1491, NEW, (null),1,2,3,,,
50145,2051, NEW, (null),7,4,2,,,
50163,2134, NEW, (null),15,9,7,,,
50177,802, NEW, (null),2,2,1,,,
50803,0, NEW, (null),1,1,1,,,
50934,4, NEW, (null),5,2,0,,,
51524,288, NEW, (null),1,2,0,,,
51693,1313, NEW, (null),102,14,26,,,
51701,3052, CLOSED, WONTFIX,3,2,1,,,
51705,2014, NEW, (null),4,3,0,,,
51960,105, VERIFIED, WONTFIX,2,3,0,,,
52192,2008, NEW, (null),4,5,0,,,
52297,0, NEW, (null),1,1,0,,,
52523,3197, REOPENED, (null),5,2,0,,,
52991,1206, NEW, (null),6,3,1,,,
53443,703, NEW, (null),11,9,7,,,
53533,0, NEW, (null),2,2,2,,,
53837,12, VERIFIED, FIXED,5,3,4,,,
53970,2001, NEW, (null),5,3,2,,,
54036,1999, NEW, (null),1,2,1,,,
54265,1188, NEW, (null),3,4,2,,,
54358,40, VERIFIED, FIXED,2,2,2,,,
54728,1993, NEW, (null),3,3,2,,,
54743,73, NEW, (null),4,4,0,,,
54785,3341, NEW, (null),5,4,4,,,
55074,2568, NEW, (null),5,3,8,,,
55536,2013, NEW, (null),15,8,6,,,
55595,1973, NEW, (null),4,3,2,,,
55600,85, VERIFIED, FIXED,11,5,4,,,
56063,60, VERIFIED, FIXED,8,4,1,,,
56124,1252, NEW, (null),6,4,2,,,
56275,2491, NEW, (null),8,5,3,,,
56495,1979, NEW, (null),6,4,2,,,
56598,0, NEW, (null),0,1,0,,,
56667,9, VERIFIED, FIXED,5,3,3,,,
56829,12, VERIFIED, FIXED,12,4,5,,,
56841,1976, NEW, (null),19,6,5,,,
56932,10, NEW, (null),0,1,1,,,
57003,17, CLOSED, FIXED,14,3,0,,,
57004,17, CLOSED, FIXED,8,3,0,,,
57099,17, VERIFIED, FIXED,2,3,1,,,
57330,3001, CLOSED, WONTFIX,4,4,2,,,
57382,2756, NEW, (null),23,13,12,,,
57500,3000, CLOSED, WONTFIX,7,4,3,,,
57559,34, CLOSED, WONTFIX,26,5,2,,,
57562,57, CLOSED, FIXED,18,5,1,,,
57597,1161, NEW, (null),1,2,1,,,
57813,1996, NEW, (null),7,2,1,,,
57870,2996, CLOSED, WONTFIX,2,2,2,,,
57876,71, VERIFIED, FIXED,2,2,0,,,
58243,13, CLOSED, FIXED,5,3,1,,,
58286,1942, NEW, (null),2,2,1,,,
58615,57, VERIFIED, FIXED,21,4,2,,,
59145,2108, NEW, (null),1,2,4,,,
59244,1147, NEW, (null),2,3,0,,,
59392,1146, NEW, (null),8,3,3,,,
59472,369, CLOSED, FIXED,7,3,1,,,
59506,2531, NEW, (null),64,27,49,,,
59524,13, VERIFIED, FIXED,13,4,2,,,
59622,0, NEW, (null),0,1,0,,,
59639,1982, NEW, (null),4,5,1,,,
60218,825, NEW, (null),4,4,4,,,
60273,1120, VERIFIED, FIXED,47,7,7,,,
60328,1933, NEW, (null),13,4,3,,,
60336,0, NEW, (null),0,1,1,,,
60639,3245, CLOSED, WONTFIX,11,7,7,,,
60661,1929, NEW, (null),8,6,2,,,
60967,1553, NEW, (null),12,3,2,,,
