FFAndroidWFM,FFAndroidNWFM,IndustryWFM,IndustryNWFM,WikiWFM,WikiNWFM,EclipseWFM,EclipseNWFM,FirefoxWFM,FirefoxNWFM,MoodleWFM,MoodleNWFM
4,104,1,2,30,3,2,5,1,38,2,2
3,12,1,2,7,4,3,2,21,13,2,2
7,11,2,1,7,1,10,7,2,14,2,2
5,3,4,1,2,3,3,3,2,3,2,2
1,7,2,1,9,5,6,8,4,19,2,2
9,26,1,0,5,5,7,7,3,26,2,2
1,8,2,0,22,3,15,12,1,3,3,2
3,23,2,0,2,26,2,9,2,5,1,2
2,4,4,1,5,6,2,12,4,10,2,2
1,32,2,0,8,4,5,2,6,5,2,1
6,35,2,0,9,5,3,23,1,15,2,2
3,5,1,1,3,3,4,4,3,14,2,2
1,4,1,0,2,4,4,10,5,3,2,2
1,12,2,0,7,9,12,8,8,9,2,3
9,5,0,1,1,5,2,6,1,18,2,2
2,30,1,0,1,3,4,21,9,16,2,2
3,35,4,1,1,2,4,4,5,5,2,2
2,22,3,0,3,9,3,8,6,10,2,2
1,24,2,0,2,4,1,3,8,5,2,2
2,10,2,0,1,1,9,5,3,8,2,2
3,9,1,0,1,2,8,4,4,3,2,2
2,13,3,0,11,9,9,0,2,11,1,2
12,69,4,0,3,3,8,1,1,43,2,2
2,14,3,0,1,5,2,12,2,14,2,2
11,9,6,0,3,17,1,2,11,16,2,2
7,11,4,0,13,18,4,2,1,6,2,2
9,5,1,0,2,1,1,2,3,27,2,2
0,4,4,0,2,7,1,3,4,5,2,2
21,7,3,0,5,11,6,2,11,16,2,2
4,39,2,0,1,16,3,4,5,8,2,2
23,5,1,0,9,28,4,1,5,19,2,2
4,7,5,0,6,4,4,0,2,11,2,2
6,2,4,0,4,3,1,7,2,45,2,2
2,3,1,0,2,15,3,6,2,2,2,2
6,27,5,0,1,1,10,10,3,4,2,2
5,10,2,0,6,13,4,6,4,7,2,2
9,4,4,0,10,8,2,24,13,5,2,2
3,3,3,0,11,14,4,2,3,7,2,2
2,9,2,0,2,6,3,12,6,74,2,2
4,5,4,0,10,3,8,3,3,4,2,2
18,8,2,0,2,27,3,4,2,12,2,2
5,8,2,0,1,14,12,10,7,4,2,2
1,25,4,0,3,3,5,4,3,12,2,2
8,40,2,0,3,8,8,2,5,1,2,2
8,6,4,0,2,6,2,3,2,25,2,2
5,26,2,0,2,8,5,3,4,4,2,2
8,6,2,0,3,3,2,3,2,8,2,2
20,20,2,0,5,9,1,1,1,6,2,2
9,6,3,0,1,5,2,2,13,24,3,2
5,14,1,0,0,13,6,3,22,13,2,2
18,26,2,0,1,15,2,10,2,5,2,2
3,3,2,0,2,12,1,12,3,2,2,2
1,6,3,0,3,16,3,19,2,21,2,2
2,11,1,0,5,25,4,2,3,3,2,2
11,45,2,0,4,15,2,2,3,3,2,2
26,16,2,0,11,38,3,18,5,12,2,2
4,9,1,0,1,2,1,3,4,5,2,2
39,12,1,0,18,5,3,8,2,6,2,1
2,12,2,0,1,60,5,7,4,12,2,2
3,10,2,0,2,7,3,0,11,6,2,2
12,20,3,0,4,36,2,11,3,6,2,2
4,20,2,0,3,8,1,11,5,5,2,2
5,4,2,0,4,45,1,2,8,12,2,2
1,13,2,0,1,1,2,9,2,6,2,7
8,22,2,0,4,9,7,1,2,3,2,2
6,4,5,0,10,9,5,4,7,23,2,2
4,18,2,0,3,3,5,8,6,56,2,2
23,12,2,0,2,4,2,12,2,4,2,2
1,29,2,0,3,14,3,10,1,33,2,2
2,9,2,0,2,8,2,1,4,4,2,2
1,7,2,0,6,2,6,3,5,20,2,2
3,4,1,0,1,11,3,2,3,9,2,2
1,11,2,8,1,46,6,4,8,33,2,3
6,7,7,0,2,2,22,9,6,2,2,2
2,11,3,0,5,16,2,14,3,16,2,2
1,12,3,0,2,5,2,9,7,13,2,2
11,11,4,0,2,1,12,10,4,5,2,2
3,23,4,0,5,10,2,5,2,8,2,1
3,17,1,0,3,3,5,1,6,3,2,2
3,23,1,0,5,2,5,27,3,17,2,2
3,10,1,2,7,5,17,3,3,4,2,2
4,10,4,0,5,8,4,3,2,5,2,2
6,23,1,0,2,5,3,3,4,12,2,2
18,14,2,0,4,3,2,19,7,38,2,2
3,12,4,0,17,2,6,6,5,7,2,2
20,7,1,1,7,9,12,6,2,7,2,2
7,21,1,1,2,8,25,3,3,33,2,2
2,11,0,1,20,3,6,1,1,23,2,2
2,7,4,1,15,15,5,11,3,11,2,2
1,4,3,0,8,2,3,13,4,24,2,2
5,13,2,0,6,2,1,7,0,19,2,2
207,17,2,1,3,10,4,6,8,23,2,2
3,8,1,1,5,1,1,3,2,34,2,2
7,5,4,2,6,7,2,8,2,34,2,2
2,15,6,1,1,21,6,23,2,3,2,2
4,58,2,0,14,2,2,6,4,10,2,2
1,13,1,1,25,14,7,2,3,35,2,2
2,7,2,1,2,1,6,3,9,24,2,2
1,10,4,1,3,5,2,8,1,22,2,2
7,11,2,0,2,5,1,8,3,7,2,2
