FFAndroidWFM,FFAndroidNWFM,IndustryWFM,IndustryNWFM,WikiWFM,WikiNWFM,EclipseWFM,EclipseNWFM,FirefoxWFM,FirefoxNWFM,MoodleWFM,MoodleNWFM
239,26,0,0,1647,8,13,2422,10,367,554,1220
224,42,13,0,0,85,411,1618,200,1163,554,1219
1,33,0,0,0,18,740,16,3,1449,556,1219
86,16,6,0,1538,303,4,10,289,779,566,1218
0,1,5,0,0,0,2,16,3391,838,568,1218
111,31,5,0,1301,361,0,17,398,9,569,1217
124,777,5,0,0,0,954,9,13,1056,586,1217
82,43,13,0,1185,1065,14,0,450,1354,587,1217
3,466,14,0,6,61,53,14,11,664,593,1216
17,9,14,0,836,576,173,13,1033,966,608,1215
117,27,6,0,210,68,998,8,949,1025,610,2102
40,10,8,0,754,89,0,13,0,1041,620,1210
6,23,6,0,2,1839,52,7,0,1396,628,1210
212,41,8,0,0,1330,3345,7,108,818,631,1209
179,6,6,0,620,0,236,8,2,884,638,1209
24,46,7,0,197,705,48,13,255,918,643,1208
21,26,7,0,989,3,9,1,3130,728,649,1206
116,20,0,0,593,2,51,1604,0,721,655,1206
189,0,1,0,2097,2425,1671,1172,1253,886,662,1205
212,20,7,0,568,19,28,1602,332,175,665,1205
81,7,0,0,154,417,946,2557,0,1408,669,1204
14,101,7,0,1968,27,48,13,769,1460,825,1200
73,128,0,0,2,394,7,63,815,928,678,1199
82,17,7,0,2,71,45,28,232,355,678,1199
107,142,7,0,161,228,18,1,1368,1072,679,1199
7,50,7,0,1831,3,790,107,0,706,685,1197
253,11,2,0,1983,0,2110,0,525,1359,688,1197
64,20,3,0,1765,6,4,2380,245,1442,688,1197
109,34,15,0,1718,339,72,731,99,118,691,1281
12,81,0,0,0,35,10,2624,0,1479,693,1196
360,36,0,0,181,0,57,3195,51,687,703,1196
139,31,13,0,1880,5,28,1375,1109,1414,703,1195
235,42,23,0,146,125,308,12,1449,1419,707,1195
169,32,6,0,1474,172,14,2372,1030,875,709,1195
14,15,6,0,0,2406,1032,2,337,1114,713,1193
14,10,3,0,0,1732,949,20,465,1338,716,1193
146,135,17,0,1,156,1554,1003,6,1395,719,1192
