BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberCC, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory ,
314353,1660, RESOLVED, WORKSFORME,4,3,1,UNCONFIRMED > RESOLVED, --- > INCOMPLETE > WORKSFORME, , 
542548,372, RESOLVED, WORKSFORME,14,2,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
294896,62, RESOLVED, WORKSFORME,3,3,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
476246,229, RESOLVED, WORKSFORME,5,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
259893,298, RESOLVED, WORKSFORME,2,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
419333,625, RESOLVED, WORKSFORME,3,2,2,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
227945,139, RESOLVED, WORKSFORME,5,6,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
360038,0, RESOLVED, WORKSFORME,1,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
241175,3226, RESOLVED, WORKSFORME,0,1,3,NEW > RESOLVED, --- > WORKSFORME, NEW (---) > RESOLVED (WORKSFORME) , 
320379,1588, RESOLVED, WORKSFORME,2,2,1,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
299953,1129, VERIFIED, WORKSFORME,2,3,1,UNCONFIRMED > RESOLVED > VERIFIED, --- > WORKSFORME, , 
489633,0, RESOLVED, WORKSFORME,3,2,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
266492,71, RESOLVED, WORKSFORME,11,8,3,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
427491,383, RESOLVED, WORKSFORME,3,2,2,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
235724,561, RESOLVED, WORKSFORME,4,4,3,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
326654,373, RESOLVED, WORKSFORME,4,3,1,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
578647,509, RESOLVED, WORKSFORME,5,3,2,UNCONFIRMED > NEW > RESOLVED, --- > WORKSFORME, , 
302539,1445, RESOLVED, WORKSFORME,7,4,2,UNCONFIRMED > RESOLVED, --- > FIXED > WORKSFORME, , 
502891,477, RESOLVED, WORKSFORME,4,3,2,UNCONFIRMED > RESOLVED, --- > WORKSFORME, UNCONFIRMED (---) > RESOLVED (WORKSFORME) , 
436971,908, VERIFIED, WORKSFORME,3,2,1,UNCONFIRMED > RESOLVED > VERIFIED, --- > INCOMPLETE > FIXED > WORKSFORME, , 
241675,100, VERIFIED, WORKSFORME,4,4,1,UNCONFIRMED > RESOLVED > VERIFIED, --- > WORKSFORME, , 
