BugID, ResolutionTime, BugStatus, BugResolution, NumberComments,  NumberAuthors, NumberWatches, BugStatusHistory, BugResolutionHistory, BugStatusResolutionHistory ,
MDL-3489,436, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3479,438, Closed, Cannot Reproduce,3,2,0,, ---, , 
MDL-3465,439, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3462,440, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3443,442, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3405,446, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3354,997, Closed, Cannot Reproduce,3,3,1,, ---, , 
MDL-3343,454, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3289,463, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3268,464, Closed, Cannot Reproduce,1,1,1,, ---, , 
MDL-3234,467, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3233,467, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3196,470, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3180,351, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-3179,471, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3170,471, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-3123,475, Closed, Cannot Reproduce,3,2,0,, ---, , 
MDL-3122,475, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3071,481, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-3007,488, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2994,489, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2989,1, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-2976,490, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2970,491, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2901,498, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2876,501, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2844,505, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2842,505, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2755,525, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2671,538, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2670,538, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2552,554, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2551,554, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2543,556, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2482,566, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2472,568, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2467,569, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2390,586, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2382,587, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2349,593, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-2309,608, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2304,610, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2275,620, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2254,628, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2246,631, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2214,638, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2197,643, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2173,649, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2161,655, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2143,662, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2127,665, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2118,669, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2097,825, Closed, Cannot Reproduce,3,3,0,, ---, , 
MDL-2094,678, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-2092,678, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2087,679, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2061,685, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2044,688, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2042,688, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2030,691, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-2021,693, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1966,703, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1964,703, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1950,707, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1939,709, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1922,713, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1906,716, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1877,719, Closed, Cannot Reproduce,1,1,0,, ---, , 
MDL-1860,721, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1816,726, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1811,726, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1767,730, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1695,749, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1665,760, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1610,781, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1602,784, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1600,785, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1598,787, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1587,793, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1567,801, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1565,802, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1561,804, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1521,811, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1484,818, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1474,819, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1448,822, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1413,828, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1409,829, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1373,834, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1372,834, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1368,834, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1340,837, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1317,839, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1307,841, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1301,1253, Closed, Cannot Reproduce,3,3,0,, ---, , 
MDL-1300,844, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1291,845, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1285,847, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1278,848, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1260,853, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1217,871, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1215,872, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1212,874, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1175,884, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1167,885, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1164,886, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1140,893, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1113,897, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1112,897, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1104,899, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1092,906, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1078,910, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1076,910, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1050,920, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1039,925, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1027,930, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-1024,931, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-996,941, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-930,989, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-928,990, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-911,1001, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-870,1027, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-845,1039, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-789,1063, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-777,1066, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-759,1072, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-757,1072, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-746,1075, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-711,1083, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-696,1087, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-677,1091, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-645,1097, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-643,1098, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-623,1102, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-577,1115, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-570,1122, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-557,1133, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-493,1174, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-477,1178, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-418,1199, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-409,1203, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-382,1213, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-379,1215, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-332,1240, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-326,1242, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-317,1253, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-264,1297, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-255,1307, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-215,1347, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-176,2726, Closed, Cannot Reproduce,5,4,0,, ---, , 
MDL-173,1392, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-164,1398, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-154,1400, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-128,1414, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-119,1417, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-118,1417, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDL-95,1443, Closed, Cannot Reproduce,2,2,0,, ---, , 
MDLSITE-1846,632, Closed, Cannot Reproduce,2,2,0,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDLSITE-1600,80, Resolved, Cannot Reproduce,2,2,0,Open > Resolved, -- > CannotReproduce, Open (---) > Resolved (CannotReproduce) , 
MDLSITE-1514,1, Closed, Cannot Reproduce,3,2,0,Open > Developmentinprogress > Closed, -- > CannotReproduce, , 
MDLSITE-1261,810, Closed, Cannot Reproduce,5,2,2,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDLSITE-1212,677, Closed, Cannot Reproduce,2,2,0,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
MDLSITE-1101,477, Closed, Cannot Reproduce,3,1,2,Open > Closed, -- > CannotReproduce, Open (---) > Closed (CannotReproduce) , 
